Roblox EU Digital Safety Act (DSA) Transparency Report,,,,,,,,,,,,,,,,,,,,,,,,,
1. Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,
Context,"Roblox provides the information below in response to the DSA. The following data covers the time period from Feb. 17, 2024 through Dec. 31, 2024 (the reporting period). 

To provide greater context on the charts below, during the reporting period, Roblox users generated and uploaded approximately 1.1 trillion (1,109,155,652,855) total pieces of content to our platform, of which a significant amount is text chat, as well as other content types including audio, voice, and images. Every piece of content generated and uploaded is reviewed by our content moderation tools. Thus, this number represents the total pieces of content that potentially could have been flagged via our detection and reporting systems. 

Just 0.0103% of all content uploaded (114,246,370 total pieces of content) was detected as violating our policies. This content is immediately removed from the platform and depending on the severity of the violation, proportionate action is taken on the account that uploaded the content.",,,,,,,,,,,,,,,,,,,,,,,,
Report publication date: ,"February 14, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Reporting period: ,"Feburary 17, 2024 to December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2. Orders from authorities (Art. 15(1)(a) DSA),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.1 Numbers of orders received from Member States’ authorities under Art. 9 and 10,0,,,,,,,,,,,,,,,,,,,,,,,
,2.2 Categorized by the type of illegal content concerned,n/a,,,,,,,,,,,,,,,,,,,,,,,
,2.3 Categorized by the Member State issuing the order,n/a,,,,,,,,,,,,,,,,,,,,,,,
,2.4 Median time needed to inform the authority issuing the order of the receipt,n/a,,,,,,,,,,,,,,,,,,,,,,,
,2.5 Median time to give effect to order,n/a,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
3. User notices (Art. 15(1)(b) DSA),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3.1 Notices submitted in accordance with Art. 16,"371,934",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3.2 Categorized by the type of alleged illegal content concerned,,,,,,,,,,,,,,,,,,,,,,,,
,Child Sexual Exploitation,105360,,,,,,,,,,,,,,,,,,,,,,,
,Hate Speech,26998,,,,,,,,,,,,,,,,,,,,,,,
,Illegal Goods and Activities,63346,,,,,,,,,,,,,,,,,,,,,,,
,IP Infringement,39,,,,,,,,,,,,,,,,,,,,,,,
,Other,123679,,,,,,,,,,,,,,,,,,,,,,,
,Scams,9274,,,,,,,,,,,,,,,,,,,,,,,
,Terrorism & Violent Extremism,36319,,,,,,,,,,,,,,,,,,,,,,,
,Threats of Violence,6919,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3 Number of notices submitted by trusted flaggers,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3.4 Number of notices actioned pursuant to the notices by differentiating between illegal content and T&C violations,,,,,,,,,,,,,,,,,,,,,,,,
